Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::where,"2,1;
2,1;
2,1",,13.02,27.77,0,2.64,0,0
empty_tensor,,,7.76,7.76,0,0,0,0
aclnnSWhere,,,6.99,6.99,2.64,2.64,0,0
aten::add,"2;
;
",,14.14,28.5,0,2.92,0,0
empty_tensor,,,4.89,4.89,0,0,0,0
aten::item,,,1.9,3.44,0,0,0,0
aten::_local_scalar_dense,,,1.54,1.54,0,0,0,0
aclnnAdds,,,6.03,6.03,2.92,2.92,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.65,26.88,0,1.96,0,0
aten::empty_like,"2;
;
;
;
;
",,5.19,10.28,0,0,0,0
empty_tensor,,,5.09,5.09,0,0,0,0
aten::zero_,2,,6.59,11.95,0,1.96,0,0
aclnnInplaceZero,,,5.36,5.36,1.96,1.96,0,0
aten::where,"2;
2;
2",,9.24,18.73,0,1.9,0,0
empty_tensor,,,4.81,4.81,0,0,0,0
aclnnSWhere,,,4.68,4.68,1.9,1.9,0,0
Event::record,,,52.49,65.06,0,0.02,0,0
record_event,,,12.57,12.57,0.02,0.02,0,0
Event::wait,,,39.19,48.63,0,458.4,0,0
wait_event,,,9.44,9.44,458.4,458.4,0,0
aten::select,"2,2;
;
",,9.26,14.59,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.33,5.33,0,0,0,0
aten::reshape,"2,1;
",,3.34,9.5,0,0,0,0
aten::view,"2,1;
",,6.16,6.16,0,0,0,0
aten::copy_,"2;
2;
",,8.86,15.95,0,1.84,0,0
acl_memcpy_device_to_host,,,7.09,7.09,1.84,1.84,0,0
Event::record,,,48.91,57.73,0,0.02,0,0
record_event,,,8.82,8.82,0.02,0.02,0,0
destroy_event,,,5.86,5.86,0,0,0,0
Event::synchronize,,,42.91,42.91,0,0,0,0
aten::select,"2,2;
;
",,7.63,11.63,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.0,4.0,0,0,0,0
aten::resolve_conj,2,,1.18,1.18,0,0,0,0
aten::resolve_neg,2,,0.94,0.94,0,0,0,0
destroy_event,,,9.82,9.82,0,0,0,0
serving.decode_step,,,222.9,850.08,0,11.16,0,0
Event::record,,,94.71,106.46,0,0.02,0,0
record_event,,,11.75,11.75,0.02,0.02,0,0
cache_compiler inference,,,110.26,241.31,0,0,0,0
TorchNpuGraphBase::Run,,,23.53,131.05,0,0,0,0
AssembleInputs,,,11.32,11.32,0,0,0,0
AssembleOutputs,,,7.37,7.37,0,0,0,0
ExecuteGraph,,,60.5,60.5,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.98,28.33,0,0,0,0
aten::empty,";
;
;
;
;
",,6.41,14.23,0,0,0,0
empty_tensor,,,7.82,7.82,0,0,0,0
aten::set_,"0;
;
;
;
",,6.12,6.12,0,0,0,0
aten::reshape,"2,1;
",,4.23,10.11,0,0,0,0
aten::view,"2,1;
",,5.88,5.88,0,0,0,0
Event::record,,,102.0,116.34,0,0.02,0,0
record_event,,,14.34,14.34,0.02,0.02,0,0
aten::view,"2;
",,6.91,6.91,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.45,47.06,0,1.98,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.28,17.34,0,0,0,0
empty_tensor,,,11.06,11.06,0,0,0,0
aten::fill_,"2,1;
",,13.72,24.27,0,1.98,0,0
aclnnInplaceFillScalar,,,10.55,10.55,1.98,1.98,0,0
aten::where,"2,1;
2,1;
2,1",,13.46,27.42,0,2.6,0,0
empty_tensor,,,6.78,6.78,0,0,0,0
aclnnSWhere,,,7.18,7.18,2.6,2.6,0,0
aten::add,"2;
;
",,14.0,27.99,0,2.82,0,0
empty_tensor,,,4.91,4.91,0,0,0,0
aten::item,,,1.91,3.41,0,0,0,0
aten::_local_scalar_dense,,,1.5,1.5,0,0,0,0
aclnnAdds,,,5.67,5.67,2.82,2.82,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.08,25.2,0,1.72,0,0
aten::empty_like,"2;
;
;
;
;
",,4.62,9.18,0,0,0,0
empty_tensor,,,4.56,4.56,0,0,0,0
aten::zero_,2,,6.78,11.94,0,1.72,0,0
aclnnInplaceZero,,,5.16,5.16,1.72,1.72,0,0
aten::where,"2;
2;
2",,8.94,18.38,0,2.0,0,0
empty_tensor,,,4.37,4.37,0,0,0,0
aclnnSWhere,,,5.07,5.07,2.0,2.0,0,0
Event::record,,,52.57,65.67,0,0.02,0,0
record_event,,,13.1,13.1,0.02,0.02,0,0
Event::wait,,,39.37,49.94,0,472.76,0,0
wait_event,,,10.57,10.57,472.76,472.76,0,0
aten::select,"2,2;
;
",,8.32,13.18,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.86,4.86,0,0,0,0
aten::reshape,"2,1;
",,3.43,9.88,0,0,0,0
aten::view,"2,1;
",,6.45,6.45,0,0,0,0
aten::copy_,"2;
2;
",,8.82,15.95,0,1.88,0,0
acl_memcpy_device_to_host,,,7.13,7.13,1.88,1.88,0,0
Event::record,,,50.87,59.91,0,0.02,0,0
record_event,,,9.04,9.04,0.02,0.02,0,0
destroy_event,,,6.72,6.72,0,0,0,0
Event::synchronize,,,55.36,55.36,0,0,0,0
aten::select,"2,2;
;
",,8.12,13.44,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.32,5.32,0,0,0,0
aten::resolve_conj,2,,1.18,1.18,0,0,0,0
aten::resolve_neg,2,,0.64,0.64,0,0,0,0
destroy_event,,,9.36,9.36,0,0,0,0
serving.decode_step,,,233.87,1074.01,0,12.040000000000001,0,0
Event::record,,,95.3,107.13,0,0.02,0,0
record_event,,,11.83,11.83,0.02,0.02,0,0
cache_compiler inference,,,270.76,436.62,0,0,0,0
TorchNpuGraphBase::Run,,,25.5,165.86,0,0,0,0
AssembleInputs,,,43.78,43.78,0,0,0,0
AssembleOutputs,,,7.12,7.12,0,0,0,0
ExecuteGraph,,,61.05,61.05,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.25,28.41,0,0,0,0
aten::empty,";
;
;
;
;
",,6.67,14.97,0,0,0,0
empty_tensor,,,8.3,8.3,0,0,0,0
aten::set_,"0;
;
;
;
",,6.19,6.19,0,0,0,0
aten::reshape,"2,1;
",,5.12,11.87,0,0,0,0
aten::view,"2,1;
",,6.75,6.75,0,0,0,0
Event::record,,,110.53,126.64,0,0.02,0,0
record_event,,,16.11,16.11,0.02,0.02,0,0
aten::view,"2;
",,8.13,8.13,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,4.62,48.64,0,2.48,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.59,18.57,0,0,0,0
empty_tensor,,,11.98,11.98,0,0,0,0
aten::fill_,"2,1;
",,14.4,25.45,0,2.48,0,0
aclnnInplaceFillScalar,,,11.05,11.05,2.48,2.48,0,0
aten::where,"2,1;
2,1;
2,1",,13.82,26.81,0,2.7,0,0
empty_tensor,,,6.19,6.19,0,0,0,0
aclnnSWhere,,,6.8,6.8,2.7,2.7,0,0
aten::add,"2;
;
",,14.43,28.84,0,2.84,0,0
empty_tensor,,,4.74,4.74,0,0,0,0
aten::item,,,2.2,3.61,0,0,0,0
aten::_local_scalar_dense,,,1.41,1.41,0,0,0,0
aclnnAdds,,,6.06,6.06,2.84,2.84,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.36,27.32,0,1.74,0,0
aten::empty_like,"2;
;
;
;
;
",,6.51,11.32,0,0,0,0
empty_tensor,,,4.81,4.81,0,0,0,0
aten::zero_,2,,6.47,11.64,0,1.74,0,0
aclnnInplaceZero,,,5.17,5.17,1.74,1.74,0,0
aten::where,"2;
2;
2",,8.88,18.14,0,2.24,0,0
empty_tensor,,,4.52,4.52,0,0,0,0
aclnnSWhere,,,4.74,4.74,2.24,2.24,0,0
Event::record,,,53.04,66.2,0,0.02,0,0
record_event,,,13.16,13.16,0.02,0.02,0,0
Event::wait,,,39.58,49.23,0,263.54,0,0
wait_event,,,9.65,9.65,263.54,263.54,0,0
aten::select,"2,2;
;
",,8.19,13.1,0,0,0,0
