Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,165,0.900,1785954086256926.685	,1785954086256927.585	
6,te_increflashattention_e293d7c94dc73842c746c0471ae25afd505f2afab9d3773baab3b48e3cf86ef7,MIX_AIC,6,166,21.280,1785954086256929.025	,1785954086256950.305	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,167,4.600,1785954086256951.485	,1785954086256956.085	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,168,1.540,1785954086256956.105	,1785954086256957.645	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,169,7.900,1785954086256957.665	,1785954086256965.565	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,170,5.440,1785954086256965.585	,1785954086256971.025	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,171,1.540,1785954086256971.045	,1785954086256972.585	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,172,8.240,1785954086256972.625	,1785954086256980.865	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,173,1.500,1785954086256980.885	,1785954086256982.385	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,174,7.520,1785954086256982.405	,1785954086256989.925	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,175,1.040,1785954086256989.945	,1785954086256990.985	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,176,1.220,1785954086256991.025	,1785954086256992.245	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,177,2.200,1785954086256992.265	,1785954086256994.465	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,178,1.080,1785954086256994.485	,1785954086256995.565	
6,te_increflashattention_e293d7c94dc73842c746c0471ae25afd505f2afab9d3773baab3b48e3cf86ef7,MIX_AIC,6,179,21.080,1785954086256996.845	,1785954086257017.925	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,180,4.500,1785954086257018.685	,1785954086257023.185	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,181,1.560,1785954086257023.205	,1785954086257024.765	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,182,7.760,1785954086257024.785	,1785954086257032.545	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,183,7.840,1785954086257032.565	,1785954086257040.405	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,184,1.580,1785954086257040.425	,1785954086257042.005	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,185,8.300,1785954086257042.025	,1785954086257050.325	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,186,1.460,1785954086257050.345	,1785954086257051.805	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,187,7.480,1785954086257051.825	,1785954086257059.305	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,188,1.100,1785954086257059.325	,1785954086257060.425	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,189,1.320,1785954086257060.445	,1785954086257061.765	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,190,2.220,1785954086257061.785	,1785954086257064.005	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,191,0.960,1785954086257064.025	,1785954086257064.985	
6,te_increflashattention_e293d7c94dc73842c746c0471ae25afd505f2afab9d3773baab3b48e3cf86ef7,MIX_AIC,6,192,19.800,1785954086257066.345	,1785954086257086.145	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,193,4.700,1785954086257086.945	,1785954086257091.645	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,194,1.580,1785954086257091.685	,1785954086257093.265	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,195,9.080,1785954086257093.285	,1785954086257102.365	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,196,5.520,1785954086257102.385	,1785954086257107.905	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,197,1.560,1785954086257107.925	,1785954086257109.485	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,198,8.240,1785954086257109.525	,1785954086257117.765	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,199,1.500,1785954086257117.785	,1785954086257119.285	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,200,7.560,1785954086257119.305	,1785954086257126.865	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,201,1.060,1785954086257126.885	,1785954086257127.945	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,202,1.240,1785954086257127.965	,1785954086257129.205	
