Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::synchronize,,,56.14,56.14,0,0,0,0
aten::select,"2,2;
;
",,7.74,12.59,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.85,4.85,0,0,0,0
aten::resolve_conj,2,,1.37,1.37,0,0,0,0
aten::resolve_neg,2,,0.72,0.72,0,0,0,0
destroy_event,,,8.7,8.7,0,0,0,0
serving.decode_step,,,227.04,1065.98,0,11.36,0,0
Event::record,,,95.16,106.5,0,0.02,0,0
record_event,,,11.34,11.34,0.02,0.02,0,0
cache_compiler inference,,,117.68,447.01,0,0,0,0
TorchDynamo Cache Lookup,,,114.32,114.32,0,0,0,0
Torch-Compiled Region: 0/0,,,91.31,215.01,0,0,0,0
TorchNpuGraphBase::Run,,,24.05,123.7,0,0,0,0
AssembleInputs,,,10.89,10.89,0,0,0,0
AssembleOutputs,,,6.84,6.84,0,0,0,0
ExecuteGraph,,,52.28,52.28,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.52,29.64,0,0,0,0
aten::empty,";
;
;
;
;
",,7.01,15.5,0,0,0,0
empty_tensor,,,8.49,8.49,0,0,0,0
aten::set_,"0;
;
;
;
",,6.62,6.62,0,0,0,0
aten::reshape,"2,1;
",,5.0,11.53,0,0,0,0
aten::view,"2,1;
",,6.53,6.53,0,0,0,0
Event::record,,,103.76,116.98,0,0.02,0,0
record_event,,,13.22,13.22,0.02,0.02,0,0
aten::view,"2;
",,7.5,7.5,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.39,46.41,0,1.98,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.55,17.95,0,0,0,0
empty_tensor,,,11.4,11.4,0,0,0,0
aten::fill_,"2,1;
",,13.62,23.07,0,1.98,0,0
aclnnInplaceFillScalar,,,9.45,9.45,1.98,1.98,0,0
aten::where,"2,1;
2,1;
2,1",,13.73,27.8,0,2.62,0,0
empty_tensor,,,6.71,6.71,0,0,0,0
aclnnSWhere,,,7.36,7.36,2.62,2.62,0,0
aten::add,"2;
;
",,14.06,28.64,0,2.9,0,0
empty_tensor,,,4.5,4.5,0,0,0,0
aten::item,,,2.06,3.75,0,0,0,0
aten::_local_scalar_dense,,,1.69,1.69,0,0,0,0
aclnnAdds,,,6.33,6.33,2.9,2.9,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.65,27.46,0,1.88,0,0
aten::empty_like,"2;
;
;
;
;
",,5.02,9.73,0,0,0,0
empty_tensor,,,4.71,4.71,0,0,0,0
aten::zero_,2,,6.79,13.08,0,1.88,0,0
aclnnInplaceZero,,,6.29,6.29,1.88,1.88,0,0
aten::where,"2;
2;
2",,9.63,19.11,0,1.94,0,0
empty_tensor,,,4.56,4.56,0,0,0,0
aclnnSWhere,,,4.92,4.92,1.94,1.94,0,0
Event::record,,,53.53,65.58,0,0.02,0,0
record_event,,,12.05,12.05,0.02,0.02,0,0
Event::wait,,,40.67,50.39,0,406.02,0,0
wait_event,,,9.72,9.72,406.02,406.02,0,0
aten::select,"2,2;
;
",,8.73,13.93,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.2,5.2,0,0,0,0
aten::reshape,"2,1;
",,3.39,9.67,0,0,0,0
aten::view,"2,1;
",,6.28,6.28,0,0,0,0
aten::copy_,"2;
2;
",,9.3,16.45,0,1.86,0,0
acl_memcpy_device_to_host,,,7.15,7.15,1.86,1.86,0,0
Event::record,,,47.87,56.01,0,0.02,0,0
record_event,,,8.14,8.14,0.02,0.02,0,0
destroy_event,,,5.45,5.45,0,0,0,0
Event::synchronize,,,54.82,54.82,0,0,0,0
aten::select,"2,2;
;
",,7.78,13.01,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.23,5.23,0,0,0,0
aten::resolve_conj,2,,1.22,1.22,0,0,0,0
aten::resolve_neg,2,,0.75,0.75,0,0,0,0
destroy_event,,,8.59,8.59,0,0,0,0
serving.decode_step,,,244.23,1081.72,0,11.34,0,0
Event::record,,,96.27,107.3,0,0.02,0,0
record_event,,,11.03,11.03,0.02,0.02,0,0
cache_compiler inference,,,116.36,449.58,0,0,0,0
TorchDynamo Cache Lookup,,,114.33,114.33,0,0,0,0
Torch-Compiled Region: 0/0,,,93.22,218.89,0,0,0,0
TorchNpuGraphBase::Run,,,24.51,125.67,0,0,0,0
AssembleInputs,,,10.81,10.81,0,0,0,0
AssembleOutputs,,,7.56,7.56,0,0,0,0
ExecuteGraph,,,53.23,53.23,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.39,29.56,0,0,0,0
aten::empty,";
;
;
;
;
",,6.68,15.53,0,0,0,0
empty_tensor,,,8.85,8.85,0,0,0,0
aten::set_,"0;
;
;
;
",,6.64,6.64,0,0,0,0
aten::reshape,"2,1;
",,4.74,11.21,0,0,0,0
