Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,153,1.700,1785953640529971.575	,1785953640529973.275	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,154,7.460,1785953640529973.295	,1785953640529980.755	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,155,1.140,1785953640529980.775	,1785953640529981.915	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,156,1.380,1785953640529981.935	,1785953640529983.315	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,157,2.360,1785953640529983.335	,1785953640529985.695	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,158,0.980,1785953640529985.715	,1785953640529986.695	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,159,22.120,1785953640529988.055	,1785953640530010.175	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,160,4.560,1785953640530011.115	,1785953640530015.675	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,161,1.780,1785953640530015.695	,1785953640530017.475	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,162,8.540,1785953640530017.495	,1785953640530026.035	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,163,5.480,1785953640530026.055	,1785953640530031.535	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,164,1.640,1785953640530031.555	,1785953640530033.195	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,165,8.300,1785953640530033.215	,1785953640530041.515	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,166,1.660,1785953640530041.555	,1785953640530043.215	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,167,7.680,1785953640530043.235	,1785953640530050.915	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,168,1.020,1785953640530050.935	,1785953640530051.955	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,169,1.160,1785953640530051.975	,1785953640530053.135	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,170,2.400,1785953640530053.175	,1785953640530055.575	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,171,1.040,1785953640530055.595	,1785953640530056.635	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,172,19.860,1785953640530057.555	,1785953640530077.415	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,173,5.640,1785953640530078.155	,1785953640530083.795	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,174,1.480,1785953640530083.815	,1785953640530085.295	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,175,8.260,1785953640530085.335	,1785953640530093.595	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,176,5.740,1785953640530093.615	,1785953640530099.355	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,177,1.420,1785953640530099.375	,1785953640530100.795	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,178,8.060,1785953640530100.815	,1785953640530108.875	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,179,1.560,1785953640530108.895	,1785953640530110.455	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,180,7.360,1785953640530110.495	,1785953640530117.855	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,181,1.000,1785953640530117.875	,1785953640530118.875	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,182,1.240,1785953640530118.895	,1785953640530120.135	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,183,2.420,1785953640530120.155	,1785953640530122.575	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,184,1.040,1785953640530122.595	,1785953640530123.635	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,185,21.280,1785953640530124.695	,1785953640530145.975	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,186,5.120,1785953640530147.155	,1785953640530152.275	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,187,1.660,1785953640530152.295	,1785953640530153.955	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,188,8.380,1785953640530153.975	,1785953640530162.355	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,189,6.640,1785953640530162.375	,1785953640530169.015	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,190,1.600,1785953640530169.035	,1785953640530170.635	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,191,8.640,1785953640530170.655	,1785953640530179.295	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,192,1.560,1785953640530179.315	,1785953640530180.875	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,193,7.600,1785953640530180.895	,1785953640530188.495	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,194,1.100,1785953640530188.515	,1785953640530189.615	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,195,1.160,1785953640530189.635	,1785953640530190.795	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,196,2.320,1785953640530190.815	,1785953640530193.135	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,197,1.080,1785953640530193.175	,1785953640530194.255	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,198,21.320,1785953640530195.435	,1785953640530216.755	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,199,4.840,1785953640530217.895	,1785953640530222.735	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,200,1.580,1785953640530222.775	,1785953640530224.355	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,201,8.540,1785953640530224.375	,1785953640530232.915	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,202,5.300,1785953640530232.935	,1785953640530238.235	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,203,1.480,1785953640530238.255	,1785953640530239.735	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,204,8.200,1785953640530239.755	,1785953640530247.955	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,205,1.500,1785953640530247.975	,1785953640530249.475	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,206,7.500,1785953640530249.495	,1785953640530256.995	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,207,1.180,1785953640530257.015	,1785953640530258.195	
